Site Occupation Location,Toponym,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Mound Count
40WI1,Sellars/Sellars Farm/Lindsley Estate/Greenwood Earthworks,A,Late Thruston,,1350,1450,40,3
40WM1,Fewkes/Boiling Springs Academy,A,Dowd,,1100,1250,60,5
40WM1,Fewkes/Boiling Springs Academy,A,Thruston,,1250,1450,80,5
40WM11,Gray's Farm/Fisher-Reams,A,Thruston,,1250,1450,80,3
40WM2,Old Town,A,Thruston,,1250,1450,80,5
40WM4,DeGraffenreid,A,Thruston,,1250,1450,80,9
40WR5,Myer's Mound,A,Early Mississippian,,1000,1200,80,1
9BI1,Macon Plateau,A,Macon Plateau,,1000,1100,40,8
9BI12,Stubbs,A,Early Savannah,,1150,1250,40,1
9BI12,Stubbs,B,Stubbs,,1350,1450,40,0
9BI128,Adele,A,Cowarts,,1450,1550,40,1
9BI2,Lamar,A,Woodstock,,900,1000,40,2
9BI2,Lamar,A,Macon Plateau,,1000,1100,40,0
9BI2,Lamar,B,Early Savannah,,1150,1250,40,0
9BI2,Lamar,C,Stubbs,,1350,1450,40,0
9BI2,Lamar,C,Cowarts,,1450,1550,40,0
9BL1,Shinholser,A,Early Savannah,,1150,1250,40,2
9BL1,Shinholser,B,Dyar,,1500,1575,75,0
9BN39,Lewis Mound and Village,A,St Catherines,,1000,1150,60,1
9BN39,Lewis Mound and Village,A,Savannah,,1150,1325,175,1
9BN39,Lewis Mound and Village,A,Irene,,1325,1425,100,1
9BN7,Seven Mile Bend,A,Late Savannah,,1250,1325,75,1
9BN7,Seven Mile Bend,B,Irene II,,1375,1425,50,1
9BN9,Red Bird Creek,A,Irene,,1325,1425,40,1
9BR1,Etowah,A,Early Etowah,,1000,1075,75,6
9BR1,Etowah,A,Late Etowah,,1075,1150,75,0
9BR1,Etowah,B,Early Wilbanks,,1250,1325,75,0
9BR1,Etowah,B,Late Wilbanks,,1325,1375,50,0
9BR1,Etowah,C,Brewster,,1475,1550,75,0
9BR26,Raccoon Creek,A,Late Savannah,,1250,1325,75,1
9BR26,Raccoon Creek,B,Brewster,,1475,1550,75,0
9BR3,Two Run Creek,A,Late Wilbanks,,1325,1375,50,1
9BR40,Conyers Farm,A,Early Etowah,,1000,1075,75,1
9BR40,Conyers Farm,B,Late Savannah,,1250,1325,75,0
9BR40,Conyers Farm,C,Brewster,,1475,1550,75,0
9BR6,Free Bridge,A,Late Savannah,,1250,1325,75,1
9BR6,Free Bridge,B,Brewster,,1475,1550,75,0
9CE3,Woolfolks,A,Averett,,900,1200,120,2
9CE5,Engineer's Landing,A,Lamar,,1350,1550,80,1
9CH1,Irene,A,Late Savannah,,1250,1325,75,2
9CH1,Irene,B,Irene II,,1375,1425,50,2
9CH15,Haven Home,A,Early Savannah,,1150,1250,40,1
9CH176,no name,A,Irene,,1325,1425,40,1
9CH2,Deptford,A,St Catherines,,1000,1150,60,1
9CH2,Deptford,A,Savannah,,1150,1325,70,1
9CH24,Middle Settlement Mound A,A,Irene II,,1375,1425,50,1
9CH32,Bluff Field Mound C,A,Irene,,1325,1425,40,1
9CI64,Cane Creek Mound,A,Lamar,,1350,1550,80,1
9CK1,Long Swamp,A,Late Etowah,,1075,1150,75,1
9CK1,Long Swamp,B,Late Savannah,,1250,1325,75,0
9CK1,Long Swamp,C,Middle Lamar,,1450,1550,40,0
9CK4,Horseshoe Bend,A,Late Savannah,,1250,1325,75,1
9CK4,Horseshoe Bend,B,Middle Lamar,,1450,1550,40,0
9CK5,Wilbanks,A,Early Etowah,,1000,1075,75,1
9CK5,Wilbanks,A,Late Etowah,,1075,1150,75,0
9CK5,Wilbanks,B,Late Savannah,,1250,1325,75,0
9CK5,Wilbanks,C,Middle Lamar,,1450,1550,40,0
9CM1,Fairview,A,Middle Mississippian,,1200,1400,80,1
9CM10,Stafford Mound,A,Savannah,,1150,1325,70,1
9CM72,Stafford Air Field,A,St Catherines,,1000,1150,60,1
9CM72,Stafford Air Field,A,Savannah,,1150,1325,70,1
9CM72,Stafford Air Field,B,Altamaha,,1600,1700,40,1
9CM79,Plum Orchard,A,St Catherines,,1000,1150,60,1
9CM79,Plum Orchard,A,Savannah,,1150,1325,70,1
9CM79,Plum Orchard,B,Altamaha,,1600,1700,40,1
9CY1,Mandeville,A,Rood I,,1100,1200,40,2
9CY62,Cemochechobee,A,Rood II,,1200,1300,40,3
9DO1,Vandiver,A,Early Savannah,,1150,1250,40,1
9DO1,Vandiver,B,Early lamar,,1350,1450,,0
9DO1,Vandiver,B,Lamar,,1350,1550,80,0
9DU1,Magnolia Plantation (Wauchope's Pine Island site),A,Middle Mississippian,,1200,1400,80,3
9DU500,Long Walk site (CAS162),A,Late Mississippian,,1400,1600,80,1
9EB1,Rembert,A,Early Etowah,,1000,1075,75,5
9EB1,Rembert,B,Beaverdam,,1150,1250,40,0
9EB1,Rembert,C,Rembert,,1350,1450,40,0
9EB85,Beaverdam Creek Mound,A,Beaverdam,,1150,1250,40,1
9EB86,Tate Mound,A,Jarrett,,1075,1150,75,1
9FL162,Nixon,A,Middle Lamar,,1450,1550,40,1
9FL3,Plant Hammond,A,Late Wilbanks,,1325,1375,50,1
9FO4,Thomas,A,Etowah,,1000,1150,60,1
9FO4,Thomas,A,Early Savannah,,1150,1250,100,0
9FO4,Thomas,A,Late Savannah,,1250,1325,75,0
9FU10,Standing Peachtree,A,unknown,,0,0,,1
9GE4,Scull Shoals site,A,Skull Shoals,,1150,1250,40,2
9GE4,Scull Shoals site,B,Lamar,,1350,1550,0,0
9GE4,Scull Shoals site,B,Iron Horse,,1425,1500,75,0
9GE4,Scull Shoals site,B,Dyar,,1500,1575,75,0
9GE5,Dyar,A,Stillhouse,,1075,1150,75,1
9GE5,Dyar,B,Duval,,1350,1425,75,0
9GE5,Dyar,B,Iron Horse,,1425,1500,75,0
9GE5,Dyar,B,Dyar,,1500,1575,75,0
9GN250,Oak Grove Mound A,A,Irene,,1325,1425,40,1
9GN28,Buck Swamp Mound,A,Savannah,,1150,1325,70,1
9GN28,Buck Swamp Mound,A,Irene,,1325,1425,40,1
9GN51,Kent Mound,A,Irene I,,1325,1375,50,1
9GN51,Kent Mound,A,Irene II,,1375,1425,50,1
9GN51,Kent Mound,B,Altamaha,,1600,1700,40,1
9GN54,Goodyear Mound,A,Savannah,,1150,1325,70,1
9GN55,Taylor Mound,A,Late Savannah,,1250,1325,75,1
9GN55,Taylor Mound,B,Altamaha,,1600,1700,40,1
9GN56,Oatland Mound,A,Savannah,,1150,1325,70,1
9GN6,Evelyn,A,Late Swift Creek,,600,800,80,5
9GN6,Evelyn,B,Savannah,,1150,1325,70,5
9GN6,Evelyn,B,Irene,,1325,1425,40,5
9GO4,Thompson,A,Woodstock,,900,1000,40,1
9GO4,Thompson,B,Barnett,,1450,1550,40,0
9GO8,Baxter,A,Late Etowah,,1075,1150,75,1
9GO8,Baxter,B,Barnett,,1450,1550,40,0
9HK1,Shoulderbone,A,Early Savannah,,1150,1250,40,3
9HK1,Shoulderbone,B,Duval,,1350,1425,75,0
9HK1,Shoulderbone,B,Iron Horse,,1425,1500,75,0
9HK1,Shoulderbone,B,Dyar,,1500,1575,75,0
9HS2,Winfree Mound,A,Middle Lamar,,1450,1550,40,1
9LI288,Mingledorf Mound II,A,Irene,,1325,1425,40,1
9LI3,South End Mound I,A,Irene,,1325,1425,40,1
9LS1,Sawyer,A,Early Savannah,,1150,1250,40,2
9LS1,Sawyer,B,Lamar,,1350,1550,80,2
9MC1,Lawton's Field Mound A,A,Irene,,1325,1425,40,1
9MC11,Shell Bluff,A,Savannah,,1150,1325,70,1
9MC12,Creighton Island North,A,Irene II,,1375,1425,50,1
9MC13,Creighton Island Landing,A,Irene II,,1375,1425,50,1
9MC16,Lewis Creek,A,Late Savannah,,1250,1325,75,5
9MC17,Mound near Contenment,A,Savannah,,1150,1325,70,1
9MC2,Lawton's Field Mound B,A,Irene,,1325,1425,40,1
9MC20,Bourbon Mound,A,Savannah,,1150,1325,70,1
9MC20,Bourbon Mound,B,Irene II,,1375,1425,50,1
9MC20,Bourbon Mound,C,Altamaha,,1600,1700,40,1
9MC21,Low Bourbon Mound,A,Savannah,,1150,1325,70,1
9MC21,Low Bourbon Mound,A,Irene,,1325,1425,40,1
9MC21,Low Bourbon Mound,B,Altamaha,,1600,1700,40,1
9MC22,DuMoussays Field,A,Late Savannah,,1250,1325,75,1
9MC22,DuMoussays Field,A,Irene,,1325,1425,40,1
9MC24,Kenan Field Mound A,A,Savannah,,1150,1325,55.2,1
9MC24,Kenan Field Mound A,A,Middle Mississippian,,1200,1400,65.2,1
9MC24,Kenan Field Mound A,A,Irene I,,1325,1375,50,1
9MC259,Eulonia Mound A,A,Savannah,,1150,1325,70,2
9MC341,Creighton Island south of North end field,A,Irene,,1325,1425,40,1
9MC4,Townsend Mound,A,Irene II,,1375,1425,50,1
9MC414,Little Pine Island,A,Irene,,1325,1425,40,1
9MC59,Norman Mound,A,Late Savannah,,1250,1325,75,1
9MC59,Norman Mound,A,Irene I,,1325,1375,50,1
9MC67,Kenan Field Mound B,A,Savannah,,1150,1325,70,2
