Site Occupation Location,Site Component,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
698,SVP-ETAN-426,A,Early Tanguche,7,750,900,50,0.75,40
699,SVP-ETAN-428,A,Early Tanguche,7,750,900,50,1.5,20
700,SVP-ETAN-430,A,Early Tanguche,7,750,900,50,0.5,5
701,SVP-VIN-24,A,Vinzos,3,-500,-100,133.3333333,1.35,340
703,SVP-VIN-38,A,Vinzos,3,-500,-100,133.3333333,1.5,75
704,SVP-ETAN-434,A,Early Tanguche,7,750,900,50,1.5,75
706,SVP-ETAN-424,A,Early Tanguche,7,750,900,50,0.5,25
707,SVP-ETAN-429,A,Early Tanguche,7,750,900,50,0.5,25
708,SVP-ETAN-431,A,Early Tanguche,7,750,900,50,0.25,5
709,SVP-ETAN-343,A,Early Tanguche,7,750,900,50,0.5,10
710,SVP-ETAN-349,A,Early Tanguche,7,750,900,50,1.5,20
711,SVP-ETAN-350,A,Early Tanguche,7,750,900,50,0.3,10
712,SVP-ETAN-423,A,Early Tanguche,7,750,900,50,0.1,5
713,SVP-LSUCH-100,A,Late Suchimancillo,5,100,500,133.3333333,0.9,15
714,SVP-ETAN-341,A,Early Tanguche,7,750,900,50,0.25,5
715,SVP-ETAN-436,A,Early Tanguche,7,750,900,50,0.5,25
718,SVP-ETAN-422,A,Early Tanguche,7,750,900,50,0.25,10
719,SVP-ETAN-56,A,Early Tanguche,7,750,900,50,2.7,270
719,SVP-ETR-14,B,Early Tambo Real,9,1100,1470,123.3333333,1.4,70
720,SVP-ETAN-338,A,Early Tanguche,7,750,900,50,0.5,10
721,SVP-ETAN-348,A,Early Tanguche,7,750,900,50,0.25,5
722,SVP-ESUCH-79,A,Early Suchimancillo,4,-100,100,66.66666667,0.5,50
724,SVP-ETAN-347,A,Early Tanguche,7,750,900,50,0.25,10
725,SVP-ETAN-437,A,Early Tanguche,7,750,900,50,0.5,25
726,SVP-ETAN-346,A,Early Tanguche,7,750,900,50,0.3,5
727,SVP-LSUCH-98,A,Late Suchimancillo,5,100,500,133.3333333,0.75,35
728,SVP-ESUCH-78,A,Early Suchimancillo,4,-100,100,66.66666667,0.25,10
729,SVP-ETAN-55,A,Early Tanguche,7,750,900,50,2.5,250
729,SVP-LTAN-26,A,Late Tanguche,8,900,1100,66.66666667,2.5,625
737,SVP-ETAN-421,A,Early Tanguche,7,750,900,50,0.2,10
738,SVP-ETAN-50,A,Early Tanguche,7,750,900,50,0.25,5
739,SVP-ESUCH-70,A,Early Suchimancillo,4,-100,100,66.66666667,2.25,110
739,SVP-LSUCH-94,A,Late Suchimancillo,5,100,500,133.3333333,1.8,90
740,SVP-ETAN-54,A,Early Tanguche,7,750,900,50,5.6,560
741,SVP-VIN-39,A,Vinzos,3,-500,-100,133.3333333,0.75,40
742,SVP-ESUCH-65,A,Early Suchimancillo,4,-100,100,66.66666667,1.4,70
742,SVP-LSUCH-93,A,Late Suchimancillo,5,100,500,133.3333333,0.75,40
745,SVP-SAL-8,A,Las Salinas,1,-3000,-1800,400,1,30
746,SVP-SAL-9,A,Las Salinas,1,-3000,-1800,400,1,30
749,SVP-LSUCH-90,A,Late Suchimancillo,5,100,500,133.3333333,0.25,10
750,SVP-ESUCH-71,A,Early Suchimancillo,4,-100,100,66.66666667,1.8,25
750,SVP-LSUCH-95,A,Late Suchimancillo,5,100,500,133.3333333,1.4,20
751,SVP-LSUCH-92,A,Late Suchimancillo,5,100,500,133.3333333,0.75,40
752,SVP-LSUCH-88,A,Late Suchimancillo,5,100,500,133.3333333,3.2,50
754,SVP-GUAD-8,A,Guadalupito,6,300,750,150,0.5,25
755,SVP-ESUCH-66,A,Early Suchimancillo,4,-100,100,66.66666667,0.5,10
756,SVP-VIN-40,A,Vinzos,3,-500,-100,133.3333333,5.5,275
758,SVP-LTAN-23,A,Late Tanguche,8,900,1100,66.66666667,0.7,70
759,SVP-ETAN-45,A,Early Tanguche,7,750,900,50,1.1,110
760,SVP-ETAN-420,A,Early Tanguche,7,750,900,50,0.75,40
761,SVP-ESUCH-64,A,Early Suchimancillo,4,-100,100,66.66666667,1,100
762,SVP-VIN-41,A,Vinzos,3,-500,-100,133.3333333,1,50
763,SVP-CAY-33,A,Cayhuamarca,2,-1800,-500,433.3333333,2,100
763,SVP-ESUCH-63,B,Early Suchimancillo,4,-100,100,66.66666667,1.6,160
763,SVP-LSUCH-87,B,Late Suchimancillo,5,100,500,133.3333333,1.6,160
764,SVP-ETAN-44,A,Early Tanguche,7,750,900,50,7.2,720
764,SVP-LTAN-22,A,Late Tanguche,8,900,1100,200,6.75,675
764,SVP-ETR-12,A,Early Tambo Real,9,1100,1470,123.3333333,7.2,360
765,SVP-ETAN-419,A,Early Tanguche,7,750,900,50,0.75,40
768,SVP-ESUCH-60,A,Early Suchimancillo,4,-100,100,66.66666667,0.25,25
769,SVP-ETAN-418,A,Early Tanguche,7,750,900,50,1.25,60
771,SVP-ETAN-411,A,Early Tanguche,7,750,900,50,0.25,5
772,SVP-VIN-42,A,Vinzos,3,-500,-100,133.3333333,0.5,25
773,SVP-ESUCH-62,A,Early Suchimancillo,4,-100,100,66.66666667,2,200
773,SVP-LSUCH-86,A,Late Suchimancillo,5,100,500,133.3333333,1.4,140
774,SVP-LTR-4,A,Late Tambo Real,10,1470,1532,20.66666667,0.5,5
776,SVP-VIN-43,A,Vinzos,3,-500,-100,133.3333333,0.5,25
778,SVP-ESUCH-59,A,Early Suchimancillo,4,-100,100,66.66666667,0.5,50
779,SVP-ETAN-43,A,Early Tanguche,7,750,900,50,3,300
779,SVP-LTAN-21,A,Late Tanguche,8,900,1100,66.66666667,2.25,225
780,SVP-LTAN-18,A,Late Tanguche,8,900,1100,66.66666667,1,100
781,SVP-ETAN-410,A,Early Tanguche,7,750,900,50,0.25,10
782,SVP-ETAN-417,A,Early Tanguche,7,750,900,50,0.25,10
783,SVP-ETAN-29,A,Early Tanguche,7,750,900,50,1,15
